,Unnamed: 0,source,title_desc,publishedAt,title_desc_sent_1
118,118,Bloomberg News,"U.S. stocks weather quad witching to cap record week. U.S. stocks dropped from early session highs to cap a record-breaking week with something of a whimper. Declines in tech giants including Apple Inc. (AAPL.O), Amazon.com Inc. (AMZN.O) and Facebook Inc. (FB.O) dragged on benchmarks as quarterly rebalancing spurred trading.",2018-09-20,-1
104,104,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Recession risk looks elevated, says Nobel economist Robert Shiller. Right now, he says, there's a spirit of thinking the lengthy bull market 'ought to come to an end soon'",2019-02-12,-1
51,51,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","CIBC’s 'day late and a dollar short' missteps turn investors off. Shifting strategies and inconsistencies have frustrated investors, including a mortgage misstep that saw CIBC go from leader to laggard in two years",2019-11-19,-1
87,87,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",U.S. set to delay more China tariffs ahead of Trump-Xi meeting. Treasury Secretary Steven Mnuchin expressed optimism that a deal could be reached by year end,2019-06-26,1
99,99,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Cannabis gives Canadian stocks their best high in 19 years. Will it last?. 'We got in two months what we thought we'd achieve through the course of the year. It's a bit disconcerting',2019-04-01,1
97,97,Bloomberg News,"Poloz inverts Canada’s yield curve by removing rate-hike bias. Stephen Poloz has inverted Canada’s yield curve. The central bank’s decision to remove a bias to higher interest rates pushed longer-term government bond yields lower, dropping them below short-term debt.",2019-04-24,-1
56,56,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Cannabis earnings confound analysts after sector's horrible year. During a year in which pot stocks have cratered, the outlook for earnings has become hazier than almost any other sector",2019-10-25,-1
33,33,CBC,"Google parent, Alphabet, just became trillion-dollar company. Some fund managers say they're wondering if now is the time to cash in",2020-01-17,1
52,52,CBC,OpenText Corp. to buy cloud-focused Carbonite Inc. in billion dollar deal. The $1.42-billion US deal will be the ninth cloud-focused acquisition for the Canadian-based company,2019-11-11,1
8,8,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Shopify pushes past TD to become Canada's second-biggest stock. Shopify's shares jumped as much as 7.8 per cent, pushing its market value over the $100 billion mark",2020-04-20,1
60,60,CBC,U.S. stock indexes wobble as traders turn cautious over trade. The U.S. held off on tariffs set to kick in Tuesday but has yet to cancel plans for more tariffs in December,2019-10-16,-1
107,107,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canadian stocks post their best start to the year since 1980. TSX up seven per cent since Jan. 1 on 11th straight day of gains. But what's that got to do with Cheech & Chong?,2019-01-18,1
53,53,CBC,What the Saudi Aramco IPO could mean for the future of the oil industry. Saudi Arabian oil giant Aramco will sell shares publicly for the first time in December,2019-11-08,1
15,15,CBC,Alberta's economic decline will be the 'most severe' the province has ever seen: RBC. Research firm says Western Canada will need to cut oil production by more than 10%,2020-03-27,-1
42,42,CBC,U.S. stocks reach new highs after rumours of 50% cut on Chinese tariffs. President Donald Trump says U.S. is 'very close' to nailing down trade deal with China,2019-12-12,1
96,96,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","With two tweets, Trump shatters historic calm in global markets. Stocks tumbled after the President shocked investors by threatening to hike tariffs on Chinese goods — just when things seemed to be going so well",2019-05-06,-1
93,93,CBC,"U.S. Congress launches antitrust probe into big tech companies. Officials didn't say which firms are being investigated, as shares in Facebook, Google, Amazon and Apple fall",2019-06-04,-1
106,106,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Why are energy stocks so cold when Canadian oil prices are so hot?. Oil cuts that boosted price send clear signal 'You can't grow. Don't even try',2019-01-21,-1
44,44,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Royal Bank of Canada misses expectations in tough times for investment banking. Royal Bank of Canada’s record-breaking profit engine may be running out of steam,2019-12-04,-1
10,10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Shopify just leapfrogged Brookfield to become the third-largest company in Canada. Shares surge to a record after CTO says company is doing 'Black Friday level traffic' daily,2020-04-17,1
66,66,CBC,"TSX falls from record high after a week of gains, U.S. markets mixed. I think this kind of a catch-your-breath moment for the markets, analyst said",2019-09-23,-1
76,76,CBC,Uber loses $5.24B in Q2 after post-IPO stock payouts. Ride-hailing giant said it paid $3.9 billion in stock-based compensation and expenses during the quarter,2019-08-08,-1
71,71,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","In elevated market, Warren Buffett is missing from the chatter. That doesn't mean his views are any less clear. Commentary: Judging by the record haul of cash he's hoarding, it's safe to assume he doesn't expect the market to remain elevated forever",2019-08-26,-1
22,22,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",TSX snaps six-day losing streak as global stocks rally on central bank hopes. Boost comes from news that finance ministers and bankers to hold teleconference on coronavirus response Tuesday,2020-03-02,1
115,115,Bloomberg News,"Here are the reasons China's equity rout is getting even worse. Chinese equities have already lost US$3 trillion in market value since January, and hopes for better days ahead are fading.",2018-10-26,-1
80,80,CBC,New Molson Coors CEO to address flat beer market with spiked seltzers. Gavin Hattersley will replace Mark Hunter as Molson Coors Brewing Co. CEO who retires next month,2019-07-31,-1
19,19,Bloomberg News,Another 10% plunge sends Canada stocks to lowest since 2016. Canadian stocks plunged about 10 per cent as measures to curb the spread of the coronavirus only intensified concerns the economy is heading into a recession.,2020-03-16,-1
73,73,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Stocks get hammered as bond market’s warning spooks investors. Dow tumbles 800 points; TSX down 300,2019-08-14,-1
48,48,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","RBC sees stock turbulence ahead as S&P 500 pushes toward 3,350. The U.S. stock market's record-setting rally will lose some steam in 2020, with the risk of a pullback increasing in the next few months",2019-11-27,-1
27,27,CBC,"Aurora Cannabis reports quarterly loss following layoffs, writedown and CEO departure. Earnings affected by drop in production, costs of rolling out edibles and vapes",2020-02-13,-1
39,39,CBC,Canfor privatization deal called off after failing to win shareholder support. Jim Pattison Group's $16-per-share offer had just 45% support from lumber producer's minority shareholders,2019-12-17,-1
102,102,Bloomberg News,"Norway deals a blow to an oil industry that's quickly losing friends. The decision of the world’s largest sovereign wealth fund to reduce holdings in oil stocks wasn’t as far-reaching as the industry feared, but dealt a symbolic blow to fossil fuels that will reverberate for energy companies and their investors.",2019-03-08,-1
50,50,CBC,"TD Ameritrade to be bought by Charles Schwab in $26B brokerage blockbuster. TD Bank will own about 13% of combined company, which will control about control 24 million accounts",2019-11-25,1
28,28,CBC,"What Alberta job losses in January mean for Edmonton. Statistics Canada says Alberta lost 19,000 jobs last month",2020-02-08,-1
1,1,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","'Stocks are overvalued': Wall Street heavyweights sound the alarm about markets. Legendary investors Stan Druckenmiller and David Tepper the latest to weigh in, saying risk-reward of holding shares worst they've seen in years",2020-05-14,-1
20,20,CBC,"Crude price plummet raises spectre of spending cuts, job losses in Canadian oilpatch. This is one of the biggest shocks we've seen in the last 40 years,' analyst says",2020-03-12,-1
57,57,CBC,WeWork co-founder pushed aside in $5B SoftBank takeover. Financial rescue package from Japanese tech giant offers Adam Neumann 'a golden helicopter',2019-10-23,-1
83,83,CBC,Edmonton-based cannabis retailer set to grow with investment from global retailer. Couche-Tard makes strategic cannabis move with investment in Fire & Flower,2019-07-24,1
67,67,CBC,TSX closes at record high as oil rally continues. Strength of banks and oil companies driving recent gains,2019-09-20,1
111,111,Bloomberg News,Trump hasn’t tweeted about the stock market since Nov. 12. Stocks go south and President Donald Trump goes quiet.,2018-12-06,-1
113,113,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Brookfield in talks to invest in Dubai property developer Meraas. Brookfield is weighing options that would give it control of some retail properties from Meraas, including entering into a joint venture for those developments, sources say",2018-11-27,1
105,105,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low. Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years",2019-02-05,-1
25,25,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Scotiabank profit tops estimates in revival of capital markets. Net income rises 3.5 per cent to $2.33 billion,2020-02-25,1
70,70,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Processors, not ranchers, bearing the brunt of China's ban on Canadian meat. Before China suspended Canadian shipments a, companies like Maple Leaf Foods were enjoying a windfall from surging Chinese demand and prices",2019-09-03,-1
61,61,CBC,"Prairies 'bright spot' in Canadian cannabis market as legalization anniversary nears, expert says. After initial 'bubble' in cannabis stocks, analyst expects about a half dozen companies to survive, thrive",2019-10-14,1
92,92,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Are tech's glory days over? This US$442 billion money manager thinks so. 'You have to be very, very brave to call the top for the tech sector'",2019-06-05,-1
37,37,CBC,"Fed saw last month less risk of U.S. recession. Central bank noted U.S. economy 'showing resilience' despite trade war, according to minutes of Dec. meeting",2020-01-03,1
36,36,CBC,HBC shares up on news of likely takeover deal. Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price,2020-01-06,1
84,84,CBC,"CannTrust's cannabis sales put on hold by Health Canada for unlicensed growing. Company cautions consumers to expect shortages, analyst warns of financial impact",2019-07-08,-1
